,connaissance_marche,tolerance_risque,objectif_investissement,situation_patrimoniale,horizon,temps_disponible,mode_gestion
0,30.0,50.0,20.0,90.0,15.0,10.0,10.0
1,35.0,45.0,26.0,75.0,20.0,10.0,0.0
2,25.0,60.0,30.0,75.0,5.0,10.0,0.0
3,35.0,70.0,30.0,75.0,10.0,10.0,0.0
4,20.0,25.0,20.0,75.0,5.0,10.0,10.0
5,50.0,30.0,20.0,75.0,10.0,10.0,0.0
6,30.0,25.0,25.0,75.0,5.0,10.0,0.0
7,27.0,15.0,20.0,75.0,5.0,10.0,0.0
8,10.0,15.0,30.0,75.0,5.0,10.0,0.0
9,30.0,45.0,20.0,75.0,10.0,10.0,0.0
10,35.0,45.0,20.0,75.0,5.0,10.0,0.0
11,25.0,40.0,20.0,75.0,5.0,5.0,0.0
12,10.0,15.0,20.0,90.0,5.0,10.0,0.0
13,30.0,45.0,25.0,90.0,5.0,10.0,0.0
14,30.0,30.0,30.0,90.0,20.0,10.0,0.0
15,30.0,25.0,20.0,75.0,5.0,10.0,0.0
16,25.0,25.0,20.0,75.0,5.0,10.0,0.0
17,30.0,45.0,26.0,150.0,15.0,10.0,10.0
18,10.0,35.0,25.0,90.0,5.0,15.0,0.0
19,35.0,60.0,30.0,75.0,5.0,10.0,0.0
20,35.0,25.0,20.0,75.0,10.0,10.0,0.0
21,40.0,25.0,20.0,75.0,10.0,10.0,0.0
22,35.0,47.0,31.0,90.0,20.0,10.0,0.0
23,35.0,47.0,31.0,90.0,20.0,10.0,0.0
24,30.0,50.0,30.0,75.0,15.0,10.0,0.0
25,45.0,50.0,45.0,75.0,10.0,10.0,0.0
26,30.0,40.0,30.0,90.0,5.0,10.0,0.0
27,25.0,30.0,30.0,150.0,5.0,10.0,5.0
28,30.0,30.0,20.0,225.0,10.0,10.0,0.0
29,30.0,45.0,50.0,90.0,15.0,10.0,0.0
30,25.0,35.0,30.0,75.0,10.0,10.0,0.0
31,27.0,25.0,30.0,225.0,5.0,10.0,0.0
32,35.0,45.0,55.0,75.0,20.0,10.0,0.0
33,35.0,40.0,26.0,75.0,5.0,10.0,0.0
34,35.0,55.0,55.0,75.0,15.0,10.0,15.0
35,45.0,60.0,20.0,75.0,5.0,10.0,0.0
36,20.0,47.0,31.0,75.0,5.0,10.0,0.0
37,25.0,65.0,30.0,150.0,10.0,10.0,10.0
38,55.0,75.0,55.0,75.0,10.0,10.0,10.0
39,20.0,60.0,55.0,75.0,20.0,10.0,5.0
40,30.0,45.0,30.0,75.0,10.0,10.0,0.0
41,40.0,45.0,45.0,75.0,5.0,10.0,0.0
42,20.0,45.0,35.0,90.0,5.0,10.0,0.0
43,20.0,45.0,26.0,75.0,5.0,10.0,10.0
44,35.0,45.0,31.0,75.0,5.0,10.0,0.0
45,45.0,70.0,46.0,75.0,10.0,10.0,0.0
46,45.0,60.0,55.0,75.0,20.0,10.0,15.0
47,30.0,45.0,25.0,90.0,5.0,10.0,0.0
48,50.0,35.0,40.0,75.0,5.0,10.0,0.0
49,30.0,45.0,26.0,75.0,10.0,10.0,0.0
50,30.0,40.0,20.0,75.0,5.0,10.0,0.0
51,25.0,30.0,30.0,150.0,10.0,10.0,0.0
52,30.0,30.0,20.0,150.0,10.0,10.0,0.0
53,50.0,45.0,40.0,75.0,10.0,10.0,10.0
54,15.0,15.0,20.0,150.0,5.0,10.0,0.0
55,55.0,25.0,20.0,75.0,5.0,10.0,0.0
56,30.0,42.0,30.0,90.0,20.0,10.0,0.0
57,30.0,60.0,20.0,75.0,15.0,10.0,0.0
58,30.0,65.0,25.0,75.0,15.0,10.0,0.0
59,50.0,75.0,30.0,75.0,5.0,10.0,0.0
60,20.0,30.0,20.0,150.0,5.0,10.0,0.0
61,40.0,50.0,20.0,75.0,5.0,15.0,0.0
62,20.0,25.0,20.0,150.0,5.0,5.0,0.0
63,30.0,50.0,26.0,75.0,20.0,10.0,0.0
64,25.0,50.0,50.0,75.0,10.0,10.0,0.0
65,40.0,50.0,50.0,75.0,10.0,15.0,0.0
66,25.0,30.0,30.0,90.0,10.0,10.0,0.0
67,40.0,55.0,46.0,75.0,15.0,10.0,15.0
68,40.0,55.0,26.0,75.0,5.0,10.0,0.0
69,25.0,60.0,35.0,75.0,10.0,10.0,0.0
70,35.0,75.0,55.0,75.0,10.0,10.0,0.0
71,40.0,75.0,26.0,90.0,20.0,15.0,0.0
72,15.0,40.0,50.0,75.0,15.0,10.0,0.0
73,40.0,67.0,31.0,90.0,5.0,10.0,0.0
74,40.0,90.0,40.0,75.0,20.0,10.0,0.0
75,50.0,35.0,25.0,75.0,5.0,10.0,0.0
76,55.0,70.0,20.0,90.0,5.0,10.0,0.0
77,45.0,35.0,40.0,75.0,5.0,10.0,0.0
78,30.0,20.0,20.0,75.0,5.0,10.0,0.0
79,35.0,60.0,35.0,75.0,5.0,10.0,5.0
80,35.0,25.0,30.0,75.0,5.0,10.0,0.0
81,30.0,30.0,35.0,75.0,5.0,10.0,10.0
82,45.0,10.0,25.0,75.0,10.0,10.0,0.0
83,20.0,30.0,30.0,75.0,5.0,10.0,0.0
84,20.0,25.0,25.0,75.0,5.0,10.0,0.0
85,25.0,45.0,15.0,75.0,10.0,10.0,0.0
86,25.0,45.0,30.0,150.0,10.0,10.0,0.0
87,35.0,45.0,55.0,75.0,5.0,10.0,0.0
88,45.0,50.0,40.0,75.0,10.0,10.0,10.0
89,25.0,60.0,30.0,90.0,5.0,10.0,0.0
90,20.0,45.0,30.0,75.0,15.0,10.0,0.0
91,40.0,67.0,31.0,90.0,5.0,10.0,0.0
92,40.0,67.0,31.0,90.0,5.0,10.0,0.0
93,40.0,67.0,20.0,75.0,10.0,10.0,0.0
94,20.0,30.0,30.0,150.0,15.0,10.0,0.0
95,20.0,35.0,10.0,75.0,20.0,10.0,0.0
96,25.0,45.0,30.0,90.0,10.0,10.0,0.0
